food,link,allergy,type
Abalone,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5011,"Allergy to shellfish such as abalone which are molluscs is less well known than allergy to shrimps (crustaceans). As with most food allergies, symptoms are usually mild such as oral allergy syndrome but severe symptoms such as anaphylactic shock can also occur after consumption. Note that abalone is not currently listed in annex IIIa of the EU directive on labelling of foods and thus individuals allergic to molluscs must be alert to the possibility of abalone or other molluscs as hidden allergens. Allergy to abalone is most commonly associated with allergy to other related shellfish such as limpet, snails, winkles and whelks (gastropods). Reactions can also be triggered by eating more distantly related molluscs such as clams, mussels, oysters, and scallops (bivalves) or cuttlefish, octopus and squid (cephalopods). Thus after a diagnosis of allergy to one mollusc, patients are normally advised to avoid all molluscs. Whilst most individuals with allergy to shrimps (crustacea) can tolerate molluscs, individuals with allergy to both types of shellfish have been reported. However, individuals allergic to finfish (such as cod or salmon) do not generally have allergies to shellfish.", 
Acerola,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=57,"There is only one case of a patient who developed a skin rash after drinking a glass of apple juice supplemented with acerola, who also had latex allergy. The allergy was associated with oral allergy syndrome to other plant foods."
Alaska Pollock,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5017,"Allergy to fin fish is relatively common (0.4% of adults in the USA according to one telephone survey), and can be associated with severe symptoms such as anaphylactic shock. Symptoms can also occur after ingestion of only a small quantity of fish with one reported reaction in an individual after receiving a kiss from someone who had recently eaten fish. Allergy to fish is not to be confused with a toxic reaction to histamine in spoiled fish (scombroid fish poisoning). Almost all fish allergy seems to involve the protein parvalbumin, which is found in the muscle of most fish. As the parvalbumins are similar in all fish species, individuals allergic to one fish are likely to react to a range of different fish species. Thus after a diagnosis of allergy to one fish species, patients are normally advised to avoid all fin fish. Some individuals also react to frog. Although fin fish and shellfish allergies are not linked, individuals can be allergic to both foods.Parvalbumin remains able to cause a reaction after cooking. Thus fish remains allergenic after cooking and other treatments. Fish can be a ""hidden"" allergen in, for example, pizza toppings. Consequently, the EU labelling regulations require foods containing fish and products thereof to be labelled."
Almond,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=61,"Allergies to tree nuts and seeds tend to be of a more severe nature, causing life-threatening and sometimes fatal reactions. People with tree nut allergies also often suffer from reactions triggered by a number of different types of nuts, even though they do not come from closely related plant species. In general these allergies are triggered by the major proteins found in nuts and seeds which are resist processes such as cooking.There is also a milder form of tree nut allergy which is associated with birch pollen allergy, where symptoms are confined largely to the mouth, causing a condition called “oral allergy syndrome” (OAS). This condition is triggered by molecules found in tree nuts which are very similar to pollen allergens like the major birch pollen allergen called Bet v 1. These molecules tend to be destroyed by cooking, which can reduce the allergenicity of nuts and seeds for these allergic consumers.Reactions to nuts and seeds can also occur as a consequence of hidden nut ingredients or traces of nuts and certain seeds introduced as a consequence of food handling or manufacturing. As a result tree nuts and seeds have been included in Annex IIIa of the EU food labelling directive. The following (including products thereof) must be declared on a label if they have been deliberately included in a food:Almond, hazelnut, Walnut, Cashew, Pecan nut, Brazil nut, Pistachio nut, Macadamia nut Queensland nut, Mustard and Sesame seedsTemporary exceptions to the labelling rule (derogations) have been granted for Alcoholic berveragesFlavours"
Aniseed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=62,"Aniseed allergy is relatively rare. The most common symptom reported is the oral allergy syndrome. However, anaphylaxis after eating aniseed has been reported and in one patient was associated with reactions to other spices such as caraway and coriander."
Apple,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=2,"Like many other allergies to fresh fruits and vegetables, apple allergy can take two different forms. In the North of Europe, people with birch-pollen allergy can develop an apple allergy due to the similarity between a protein in birch that causes birch-pollen allergy, and an apple protein. This is called the birch-apple syndrome with symptoms generally appearing within 5-15 min after consuming raw apple and comprising local reactions in the mouth and throat with itching and inflammation (called oral allergy syndrome, OAS). The molecule, known as an allergen, involved in this kind of allergy does not survive cooking and pasteurisation. Therefore, people who react to this allergen can tolerate cooked apple and juices. Individuals often develop adverse reactions to other fruits including pear, apricot, melon, banana, nuts such as hazelnut, or vegetables such as celeriac (celery tuber) and carrot.In Mediterranean countries, people with apple allergy do not have birch-pollen allergy. Instead they often have allergy to peach. These individuals develop adverse reactions to apple because of the similarity between the allergens in peach and apple. Symptoms are more severe including generalised urticaria, abdominal pain, vomiting and life-threatening symptoms, sometimes in addition to the OAS. These individuals tend to have more frequent and severe reactions when fruits are eaten with the peel. They also tend to develop adverse reactions to other fruits including peach, apricot, plum, cherry, nuts (such as hazelnut and walnut) and peanut. The protein (allergen) that causes this kind of allergy is tough and the allergenicity survives in processed foods such as purees, nectars and juices. As a result, individuals with this kind of allergy cannot eat even processed apple. The amount of allergen in the fruit is influenced by the apple variety, the degree of maturity and storage conditions. Whereas over-mature and freshly harvested fruits have highest levels of the peach related allergen, long storage increases the levels of pollen-related allergen. No hypoallergenic fruits have been produced by breeding so far."
Apricot,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=410,"Like many other allergies to fresh fruits and vegetables, apricot allergy can take two different forms. In the North of Europe, a milder form of apricot allergy is associated to birch-pollen allergy due to the similarity between a protein in birch that causes birch-pollen allergy, and an apricot protein. This is called the birch-fruit syndrome with symptoms confined largely to the mouth, causing a condition called “oral allergy syndrome” (OAS). The molecule, known as an allergen, involved in this kind of allergy does not survive cooking. Therefore, people who react to this allergen can tolerate cooked apricot. Individuals with apricot allergy might develop adverse reactions to other fruits including apple, pear, cherry, nuts such as hazelnut, or vegetables such as celeriac (celery tuber) and carrot.In Mediterranean countries, people with apricot allergy do not have birch-pollen allergy. Instead they often have allergy to peach. These individuals develop adverse reactions to apricot because of the similarity between the allergens in peach and apricot. Symptoms are more severe including generalised urticaria, abdominal pain, vomiting and life-threatening symptoms, sometimes in addition to the OAS. The allergen that causes this kind of allergy is tough and the allergenicity survives in processed foods such as juices and jams. As a result, individuals with this kind of allergy cannot eat even cooked fruits. Individuals with apricot allergy also tend to develop adverse reactions to other fruits including peach, apple, cherry, plum, and nuts (such as hazelnut and walnut)."
Avocado,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=4,"Avocado allergy can take two different forms: one associated with allergy to tree pollen, such as birch, and another type associated with latex allergy. People with birch-pollen allergy can develop symptoms either immediately or up to 1 hour after eating fresh avocado or an avocado-containing food. Symptoms comprise local reactions in the mouth and throat with itching and inflammation (called oral allergy syndrome, OAS). Others develop an avocado allergy because of the similarity between the allergens in avocado and natural rubber latex (e.g. gloves, condoms, balloons) a condition known as the latex-fruit syndrome. Symptoms developed by these individuals comprise generalised urticaria, abdominal pain, vomiting and sometimes life-threatening symptoms. These individuals may also develop adverse reactions to chestnut, banana, mango and kiwi."
Banana,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5,"Banana allergy can take two different forms: one associated with allergy to tree pollen, such as birch, and another type associated with latex allergy. People with birch-pollen allergy can develop symptoms either immediately or up to 1 hour after eating fresh banana or a banana-containing food. Symptoms comprise local reactions in the mouth and throat with itching and inflammation (called oral allergy syndrome, OAS). Others develop banana allergy because of the similarity between the allergens in banana and natural rubber latex (e.g. gloves, condoms, balloons) a condition known as the latex-fruit syndrome. Symptoms developed by these individuals comprise generalised urticaria, abdominal pain, vomiting and sometimes life-threatening symptoms. These individuals often develop adverse reactions to chestnut, avocado, mango and kiwi."
Barley,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=63,"Adverse reactions to wheat have been more frequently reported than to other cereal-based foods. The best defined of these are coeliac disease and IgE-dependent wheat allergy, both of which result from malfunctioning of the immune system. Allergies to other cereals such as maize, sorghum and millet, are not common and are not related to reactions triggered by wheat, rye, barley and oats. As a consequence individuals with wheat allergy, including coeliac disease, can usually eat maize-based foods such as polenta. However, allergic reactions to maize can result from the fruit allergies found in the South of Europe which often start with reactions to peach. Coeliac disease is triggered by the gluten fraction of wheat or by the gluten-like proteins found in other closely related cereals such as rye, barley. Some sensitive individuals may also react to oats. The gut reacts to the gluten and becomes smooth, loosing its ability to absorb nutrients; symptoms including diarrhoea as well as deficiencies in nutrients like vitamins. It can manifest itself in childhood, affecting children’s growth and development, or in adult hood. As there is no cure individuals with coeliac disease have to avoid eating gluten for life. However, coeliac disease does not cause the potentially fatal reaction of anaphylaxis if gluten is accidentally eaten. In contrast IgE-mediated cereal allergies can be caused by the antibody molecule IgE binding to many proteins, not just gluten. Sometimes the reactions (often severe) only develop if an individual takes exercise within a few hours of eating wheat or related cereals, in a condition called exercise-induced anaphylaxis. Individuals with wheat allergy often react to closely related cereals like barley and rye, less frequently to the more distant relative, oats. Diagnosis of cereal allergies can be complicated by the fact that some of the blood tests for cereal food allergy can accidentally detect allergy to grass pollens instead. As a consequence of these adverse reactions, cereals containing gluten, (i.e. wheat, rye, barley, oats, spelt or their hybridized strains) have been included in Annex IIIa of the food labelling directive along with derived products. Temporary exceptions to the labelling rule (derogations) have been granted for wheat based glucose syrups including dextrose, wheat based maltodextrins, glucose syrups based on barley and cereals used in distillates for spirits."
Bell pepper,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=58,Allergy to bell pepper is commonly reported with respiratory symptoms rather than reactions of the mouth or skin (most commonly rhinoconjunctivitis but also asthma) which is slightly unusual. Headaches were also reported which are sometimes associated with allergic rhinitis but are otherwise rarely reported as a symptom of food allergy. Allergy to bell pepper is often associated with the celery-birch-mugwort-spice syndrome.
